stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
20009,20009,Cockatoo Island Wharf,,-33.8455950217,151.173238926,,,,,,2
21101,21101,Woolwich Wharf,,-33.8387562704,151.176042803,,,,,,1
20651,20651,Greenwich Point Wharf,,-33.8420999293,151.180802281,,,,,,2
20412,20412,Birchgrove Wharf,,-33.846455804,151.186340454,,,,,,2
20413,20413,Balmain Wharf,,-33.8547160459,151.18636037,,,,,,1
20611,20611,Milsons Point Wharf,,-33.8493989821,151.210638439,,,,,,1
20601,20601,McMahons Point Wharf,,-33.8486505695,151.206298637,,,,,,2
20414,20414,Balmain East Wharf,,-33.8569672571,151.195975551,,,,,,1
2000442,2000442,Barangaroo Wharf 2,,-33.864939,151.200529,,,,,,1
200910,200910,Pyrmont Bay Wharf,,-33.8684416158,151.198728498,,,,,,1
20291,20291,Rose Bay Wharf,,-33.87064743041992,151.2621612548828,,,,,,1
20301,20301,Watsons Bay Wharf,,-33.8434394515,151.281039959,,,,,,2
20281,20281,Double Bay Wharf,,-33.8733492155,151.242581332,,,,,,2
20271,20271,Darling Point Wharf,,-33.8664517997,151.23949059,,,,,,2
20007,20007,Garden Island Wharf,,-33.8581358662,151.229922641,,,,,,1
20951,20951,Manly Wharf,,-33.800482912,151.283876159,,,,,,1
20004,20004,Circular Quay Wharf 3,,-33.8606745271,151.21151654,,,,,,1
20881,20881,Mosman Bay Wharf,,-33.8384763173,151.232338131,,,,,,1
20902,20902,Old Cremorne Wharf,,-33.8409208086,151.230504706,,,,,,2
20882,20882,South Mosman Wharf,,-33.8432683144,151.232596058,,,,,,2
20901,20901,Cremorne Point Wharf,,-33.8478783805,151.230858375,,,,,,1
20603,20603,North Sydney Wharf,,-33.8449623457,151.218728153,,,,,,2
20891,20891,Neutral Bay Wharf,,-33.8423196502,151.219312534,,,,,,1
20892,20892,Kurraba Point Wharf,,-33.8434290632,151.221829121,,,,,,2
20614,20614,Kirribilli Wharf,,-33.8493672514,151.220279459,,,,,,2
21271,21271,Sydney Olympic Park Wharf,,-33.8222067031,151.079093968,,,,,,1
21141,21141,Meadowbank Wharf,,-33.8211479142,151.089878149,,,,,,1
21122,21122,Kissing Point Wharf,,-33.8316867021,151.101983089,,,,,,1
21371,21371,Cabarita Wharf,,-33.8409625094,151.116485304,,,,,,1
20461,20461,Abbotsford Wharf,,-33.8436744214,151.128172603,,,,,,1
20462,20462,Chiswick Wharf,,-33.8455485509,151.141780848,,,,,,1
211158,211158,Huntleys Point Wharf,,-33.8419214507,151.142237615,,,,,,1
20471,20471,Drummoyne Wharf,,-33.8454899485,151.157095546,,,,,,1
2000441,2000441,Barangaroo Wharf 1,,-33.864291,151.20049,,,,,,1
21501,21501,Parramatta Wharf,,-33.8139155448,151.010584964,,,,,,1
20883,20883,Taronga Zoo Wharf,,-33.8463431044,151.239514206,,,,,,1
20005,20005,Circular Quay Wharf 4,,-33.8606219242,151.210998805,,,,,,1
20003,20003,Circular Quay Wharf 2,,-33.8607094119,151.212056262,,,,,,1
20006,20006,Circular Quay Wharf 5,,-33.8605696331,151.210502683,,,,,,1
0,0,Balmain Shipyard,,-33.854782,151.18842,,,,,,1
