 route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
CI,4318,CI101-4318,Cockatoo Island,,0,4318-1011,CI101,1
CI,4318,CI102-4318,Circular Quay,,1,4318-2009,CI102,1
CI,4318,CI103-4318,Cockatoo Island,,0,4318-1008,CI103,1
CI,4318,CI104-4318,Circular Quay,,1,4318-1011,CI104,1
CI,4318,CI105-4318,Cockatoo Island,,0,4318-1007,CI105,1
CI,4318,CI106-4318,Circular Quay,,1,4318-1008,CI106,1
CI,4318,CI107-4318,Cockatoo Island,,0,4318-1010,CI107,1
CI,4318,CI108-4318,Circular Quay,,1,4318-1007,CI108,1
CI,4318,CI109-4318,Cockatoo Island,,0,4318-1013,CI109,1
CI,4318,CI110-4318,Circular Quay,,1,4318-1010,CI110,1
CI,4318,CI111-4318,Cockatoo Island,,0,4318-1011,CI111,1
CI,4318,CI112-4318,Circular Quay,,1,4318-1013,CI112,1
CI,4318,CI113-4318,Cockatoo Island,,0,4318-1007,CI113,1
CI,4318,CI114-4318,Circular Quay,,1,4318-1011,CI114,1
CI,4318,CI115-4318,Cockatoo Island,,0,4318-1008,CI115,1
CI,4318,CI116-4318,Circular Quay,,1,4318-1007,CI116,1
CI,4318,CI117-4318,Cockatoo Island,,0,4318-1005,CI117,1
CI,4318,CI118-4318,Circular Quay,,1,4318-1008,CI118,1
CI,4318,CI119-4318,Cockatoo Island,,0,4318-1010,CI119,1
CI,4318,CI120-4318,Circular Quay,,1,4318-1005,CI120,1
CI,4318,CI121-4318,Cockatoo Island,,0,4318-1005,CI121,1
CI,4318,CI122-4318,Circular Quay,,1,4318-1010,CI122,1
CI,4318,CI123-4318,Cockatoo Island,,0,4318-1009,CI123,1
CI,4318,CI124-4318,Circular Quay,,1,4318-1005,CI124,1
CI,4318,CI125-4318,Cockatoo Island,,0,4318-1013,CI125,1
CI,4318,CI126-4318,Circular Quay,,1,4318-1009,CI126,1
CI,4318,CI127-4318,Cockatoo Island,,0,4318-1009,CI127,1
CI,4318,CI128-4318,Circular Quay,,1,4318-1013,CI128,1
CI,4318,CI129-4318,Cockatoo Island,,0,4318-1006,CI129,1
CI,4318,CI130-4318,Circular Quay,,1,4318-1009,CI130,1
CI,4318,CI131-4318,Cockatoo Island,,0,4318-1011,CI131,1
CI,4318,CI132-4318,Circular Quay,,1,4318-1006,CI132,1
CI,4318,CI133-4318,Cockatoo Island,,0,4318-1005,CI133,1
CI,4318,CI134-4318,Circular Quay,,1,4318-1011,CI134,1
CI,4318,CI135-4318,Cockatoo Island,,0,4318-1008,CI135,1
CI,4318,CI136-4318,Circular Quay,,1,4318-1005,CI136,1
